crop,disease,visual_description,treatment,formality
0,2,leaf rust colored pustule stain mess leaf,use spray farming method together stop rust corn farming,1
0,2,leaf rust hued pustule make leaf go brown yucky,use mix spray farming trick suppress prevalence rust maize field,1
0,2,leaf reddish brown pustule make leaf look bad rot,use spray farming trick manage rust corn production,1
0,2,leaf rust colored pustule make leaf go brown yucky,mix spray farming trick control rust maize cultivation,1
0,2,leaf rust hued pustule stain mess leaf,use spray farming trick together manage spread rust corn field,1
0,2,leaf reddish pustule make leaf look bad rot,use mix spray farming method suppress rust corn farming,1
0,2,leaf reddish pustule make leaf go brown yucky,use spray farming trick handle rust maize production,1
0,2,leaf rust colored pustule stain mess leaf,use mix spray farming method manage rust corn field,1
0,2,leaf rust colored pustule make leaf go brown yucky,mix spray farming trick fight rust maize farming,1
0,2,leaf rust hued pustule make leaf look bad rot,use spray farming trick together control spread rust corn cultivation,1
0,2,leaf rust colored pustule stain mess leaf,use spray farming method together suppress rust corn field,1
0,2,leaf rust colored pustule make leaf go brown yucky,mix spray farming trick manage rust maize crop,1
0,2,formation reddish brown pustule causing leaf discoloration deterioration,utilize combination fungicidal spray cultural practice mitigate incidence severity common rust corn crop,0
0,2,development reddish brown pustule leading leaf discoloration decay,employ integrated approach merging fungicidal spray cultural practice effectively manage occurrence severity common rust corn crop,0
0,2,emergence reddish brown pustule resulting leaf discoloration degradation,implement comprehensive strategy integrating fungicidal spray cultural method efficiently control spread intensity common rust maize field,0
0,2,appearance rust colored pustule leading leaf browning deterioration,adopt inclusive pest management approach combining fungicidal application cultural practice successfully suppress common rust corn farming,0
0,2,generation reddish brown pustule causing leaf staining deterioration,utilize holistic approach integrating fungicidal treatment agricultural method effectively mitigate prevalence impact common rust corn production,0
0,2,formation rust like pustule causing leaf discoloration decay,employ combined approach merging fungicidal spray cultural method effectively manage incidence severity common rust corn crop,0
0,2,development rust colored pustule leading leaf browning decay,implement integrated pest control strategy combining fungicidal application cultural practice effectively suppress common rust maize cultivation,0
0,2,emergence rust like pustule resulting leaf discoloration degradation,adopt integrated management approach combining fungicidal treatment cultural technique efficiently control spread intensity common rust corn field,0
0,2,appearance reddish brown pustule causing leaf browning deterioration,utilize integrated pest management strategy combining fungicidal spray agricultural practice successfully suppress common rust corn production,0
0,2,generation rust colored pustule causing leaf staining deterioration,implement integrated approach merging fungicidal treatment cultural method effectively mitigate prevalence impact common rust maize crop,0
0,2,formation reddish brown pustule resulting leaf discoloration decay,employ inclusive strategy integrating fungicidal application agricultural practice efficiently manage incidence severity common rust corn field,0
0,2,development rust colored pustule causing leaf browning deterioration,utilize comprehensive approach combining fungicidal spray cultural practice successfully suppress common rust maize cultivation,0
0,2,emergence rust hued pustule resulting leaf discoloration degradation,employ integrated management approach merging fungicidal application cultural technique effectively control spread intensity common rust corn crop,0
0,2,appearance rust colored pustule causing leaf staining deterioration,adopt integrated pest control strategy combining fungicidal application cultural practice successfully mitigate common rust corn farming,0
0,2,generation rust hued pustule leading leaf browning decay,utilize holistic approach integrating fungicidal spray agricultural method effectively suppress prevalence impact common rust maize field,0
0,2,formation reddish brown pustule resulting leaf discoloration decay,implement inclusive strategy merging fungicidal application cultural practice effectively suppress common rust corn production,0
0,2,development rust colored pustule causing leaf browning deterioration,employ integrated approach combining fungicidal treatment cultural method successfully control common rust maize cultivation,0
0,2,emergence rust hued pustule resulting leaf staining degradation,utilize integrated management strategy integrating fungicidal spray agricultural practice efficiently manage spread intensity common rust corn field,0
0,2,appearance reddish pustule causing leaf discoloration decay,implement comprehensive approach merging fungicidal treatment cultural technique successfully suppress common rust corn farming,0
0,2,generation reddish pustule causing leaf browning deterioration,adopt integrated pest management strategy combining fungicidal application cultural practice effectively mitigate common rust maize production,0
0,2,formation rust colored pustule causing leaf staining decay,utilize inclusive approach integrating fungicidal spray agricultural method efficiently manage prevalence impact common rust corn field,0
0,2,development rust colored pustule leading leaf browning decay,employ holistic strategy combining fungicidal treatment cultural practice successfully suppress common rust maize farming,0
0,2,emergence rust hued pustule resulting leaf discoloration degradation,implement integrated management approach merging fungicidal application cultural technique effectively control spread intensity common rust corn cultivation,0
0,2,appearance rust colored pustule causing leaf staining deterioration,adopt comprehensive pest control strategy combining fungicidal treatment cultural practice successfully mitigate common rust corn field,0
0,2,generation rust colored pustule leading leaf browning decay,utilize integrated approach integrating fungicidal spray agricultural method efficiently manage prevalence impact common rust maize crop,0
0,2,circular lesion marked necrotic tissue leaf,implement integrated pest management approach combining biological control agent chemical treatment effectively suppress common rust,0
0,2,formation reddish brown pustule causing leaf discoloration deterioration,utilize combination fungicidal spray cultural practice mitigate incidence severity common rust corn crop,0
0,2,development rust hued lesion accompanied chlorosis eventual tissue death,employ systematic application fungicide coupled crop rotation strategy manage common rust outbreak precision,0
0,2,presence rust colored spot accompanied leaf tissue degradation,adopt proactive approach integrating chemical fungicide resistant crop variety combat common rust effectively corn cultivation,0
0,2,formation rust hued pustule inducing premature leaf senescence,implement comprehensive disease management plan incorporating fungicidal application agronomic practice curb common rust incidence corn field,0
0,2,manifestation rust colored lesion inducing physiological stress plant foliage,enforce structured fungicidal regimen complemented genetic resistance deployment mitigate impact common rust corn productivity,0
0,2,development rust hued eruption leading foliar degradation yield loss,execute integrated disease control strategy encompassing fungicidal treatment cultural intervention suppress common rust corn cultivation,0
0,2,appearance rust colored lesion accompanied leaf chlorosis wilting,adopt judicious approach integrating chemical control measure agronomic practice effectively manage common rust infestation corn crop,0
0,2,formation rust hued pustule contributing photosynthetic impairment leaf,implement multifaceted disease management protocol incorporating fungicidal application host resistance mechanism combat common rust corn cultivation,0
0,2,presence rust colored lesion causing structural damage leaf tissue,employ combination chemical fungicide cultural practice mitigate common rust infestation ensuring sustainable corn production,0
0,2,manifestation rust colored eruption precipitating physiological dysfunction plant foliage,enforce structured disease management strategy integrating fungicidal application crop rotation practice suppress common rust corn cultivation,0
0,2,development rust hued lesion leading premature leaf abscission,execute comprehensive control regimen comprising fungicidal treatment varietal selection strategy mitigate impact common rust corn yield quality,0
0,2,appearance rust colored pustule causing cellular deterioration leaf tissue,adopt integrated pest management approach incorporating chemical fungicide biological control agent effectively manage common rust corn field,0
0,2,presence rust hued lesion accompanied leaf tissue necrosis,implement systematic disease control program integrating fungicidal application cultural management practice combat common rust corn cultivation,0
0,2,formation rust colored eruption precipitating foliar senescence,utilize combination chemical fungicide resistant crop variety suppress common rust outbreak promoting sustainable corn production practice,0
0,2,manifestation rust hued pustule causing physiological disruption leaf tissue,enforce targeted disease management approach incorporating fungicidal treatment crop rotation strategy mitigate common rust incidence corn crop,0
0,2,appearance rust colored lesion inducing metabolic imbalance plant foliage,adopt holistic disease management strategy encompassing chemical control measure agronomic intervention effectively suppress common rust corn cultivation,0
0,2,development rust hued spot contributing leaf tissue degradation,execute comprehensive disease control plan comprising fungicidal application genetic resistance deployment mitigate common rust impact corn productivity,0
0,2,presence rust colored pustule leading cellular dysfunction leaf tissue,implement integrated pest management approach combining chemical fungicide cultural practice effectively manage common rust corn field,0
0,2,formation rust hued lesion accompanied premature leaf senescence,utilize combination chemical fungicide agronomic strategy suppress common rust outbreak promote optimal corn crop performance,0
0,2,manifestation rust colored eruption causing structural damage leaf tissue,enforce structured disease management regimen incorporating fungicidal treatment varietal selection mitigate common rust impact corn yield quality,0
0,2,appearance rust hued pustule precipitating physiological dysfunction plant foliage,adopt comprehensive control strategy encompassing chemical fungicide biological agent effectively manage common rust corn cultivation,0
0,2,development rust colored lesion contributing premature leaf abscission,implement systematic disease management approach integrating fungicidal application cultural practice combat common rust corn field,0
0,2,presence rust hued spot inducing metabolic disturbance leaf tissue,utilize combination chemical fungicide resistant cultivar suppress common rust outbreak ensuring sustainable corn production practice,0
0,2,formation rust colored pustule causing cellular deterioration leaf tissue,enforce targeted disease control strategy combining fungicidal application cultural management practice mitigate common rust incidence corn crop,0
0,2,manifestation rust hued lesion leading foliar necrosis,implement integrated pest management program incorporating chemical fungicide agronomic intervention effectively manage common rust corn cultivation,0
0,2,appearance rust colored eruption precipitating leaf chlorosis wilting,adopt holistic disease management approach integrating chemical control measure genetic resistance mechanism suppress common rust corn field,0
0,2,development rust hued pustule contributing cellular dysfunction leaf tissue,execute comprehensive control regimen comprising fungicidal application crop rotation strategy mitigate common rust impact corn productivity,0
0,2,presence rust colored lesion accompanied premature leaf senescence,implement structured disease control plan encompassing chemical fungicide cultural management practice combat common rust corn cultivation,0
0,2,formation rust hued spot inducing structural damage leaf tissue,utilize combination chemical fungicide resistant crop variety suppress common rust outbreak promoting sustainable corn production practice,0
0,2,manifestation rust colored pustule causing metabolic disturbance leaf tissue,enforce systematic disease management strategy combining fungicidal application genetic resistance deployment mitigate common rust incidence corn crop,0
0,2,appearance rust hued lesion precipitating physiological stress plant foliage,adopt integrated pest management approach incorporating chemical fungicide biological control agent effectively manage common rust corn field,0
0,2,development rust colored eruption leading premature leaf abscission,implement holistic disease control regimen comprising fungicidal treatment agronomic intervention combat common rust impact corn yield quality,0
0,2,presence rust hued spot inducing foliar necrosis,utilize combination chemical fungicide resistant cultivar suppress common rust outbreak ensuring sustainable corn production practice,0
0,2,formation rust colored pustule causing structural damage leaf tissue,enforce comprehensive disease management strategy integrating fungicidal application crop rotation practice mitigate common rust incidence corn crop,0
0,2,manifestation rust hued lesion accompanied leaf chlorosis wilting,implement targeted disease control plan combining chemical fungicide cultural management practice effectively manage common rust corn field,0
0,2,appearance rust colored spot precipitating foliar senescence,adopt structured disease management approach encompassing fungicidal application genetic resistance mechanism suppress common rust corn cultivation,0
0,2,development rust hued pustule inducing metabolic disturbance leaf tissue,execute systematic disease control regimen comprising fungicidal treatment varietal selection strategy mitigate common rust impact corn productivity,0
0,2,presence rust colored lesion leading cellular dysfunction leaf tissue,implement integrated pest management approach combining chemical fungicide biological control agent effectively manage common rust corn field,0
0,2,formation rust hued eruption accompanied premature leaf senescence,utilize combination chemical fungicide agronomic strategy suppress common rust outbreak promote optimal corn crop performance,0
0,2,manifestation rust colored spot causing structural damage leaf tissue,enforce structured disease management regimen incorporating fungicidal treatment varietal selection mitigate common rust impact corn yield quality,0
0,2,appearance rust hued lesion precipitating physiological dysfunction plant foliage,adopt comprehensive control strategy encompassing chemical fungicide biological agent effectively manage common rust corn cultivation,0
0,2,development rust colored pustule contributing premature leaf abscission,implement systematic disease management approach integrating fungicidal application cultural practice combat common rust corn field,0
0,2,presence rust hued spot inducing metabolic disturbance leaf tissue,utilize combination chemical fungicide resistant cultivar suppress common rust outbreak ensuring sustainable corn production practice,0
0,2,formation rust colored lesion causing cellular deterioration leaf tissue,enforce targeted disease control strategy combining fungicidal application cultural management practice mitigate common rust incidence corn crop,0
0,2,manifestation rust hued eruption leading foliar necrosis,implement integrated pest management program incorporating chemical fungicide agronomic intervention effectively manage common rust corn cultivation,0
0,2,appearance rust colored pustule precipitating leaf chlorosis wilting,adopt holistic disease management approach integrating chemical control measure genetic resistance mechanism suppress common rust corn field,0
0,2,development rust hued lesion accompanied premature leaf senescence,execute comprehensive control regimen comprising fungicidal treatment crop rotation strategy mitigate common rust impact corn productivity,0
0,2,presence rust colored spot causing structural damage leaf tissue,use combination chemical fungicide resistant crop variety suppress common rust outbreak promoting sustainable corn production practice,0
0,2,formation rust colored pustule inducing metabolic disturbance leaf tissue,enforce systematic disease management strategy combining fungicidal application genetic resistance deployment mitigate common rust incidence corn crop,0
0,4,look like corn leaf covered tiny brown spot yellow ring,hit fungicide watch spot vanish,1
0,4,leaf seem freckled brown spot definitely cute,give good spray fungicide say goodbye mark,1
0,4,someone sprinkled brown spot leaf making look messy,spray fungicide let tidy leafy patch,1
0,4,imagine someone took paintbrush dotted leaf tiny brown spot,spray fungicide let clean leafy canvas,1
0,4,leaf wearing brown spot like got paint fight,hit fungicide let make spot regret showing,1
0,4,leaf look like caught case chickenpox instead red spot brown ugly,spray fungicide let cure leafy rash,1
0,4,leaf seem caught sort leafy measles brown spot,blast fungicide let get rid leafy disease,1
0,4,like someone spilled coffee leaf leaving small brown stain,spray fungicide let clean leafy mess,1
0,4,leaf speckled brown spot like visited polka dot fairy underworld,give good spray fungicide let banish spot leafy oblivion,1
0,4,leaf hosting brown spot party every leaf invited,spray fungicide let crash leafy shindig,1
0,4,leaf look like mud wrestling match brown spot,hit fungicide let clean leafy mess,1
0,4,like leaf got peppered leafy bullet leaving behind brown spot,spray fungicide let dodge leafy gunfire,1
0,4,like leaf wearing camouflage instead green brown spot everywhere,give good spray fungicide let reveal leafy impostor,1
0,4,look like leaf wearing tiny brown badge honor,hit fungicide let clean leafy mess,1
0,4,imagine someone took brown paintbrush dabbed leaf,spray fungicide let clean leafy mess,1
0,4,leaf look like speckled tiny brown freckle,spray fungicide let clean leafy mess,1
0,4,leaf look like splattered tiny brown paint drop,spray fungicide let clean leafy mess,1
0,4,like leaf wearing tiny brown polka dot,spray fungicide let clean leafy mess,1
0,4,leaf look like hit tiny brown paintball,spray fungicide let clean leafy mess,1
0,4,leaf look like peppered tiny brown pellet,spray fungicide let clean leafy mess,1
0,4,like leaf tagged tiny brown graffiti,spray fungicide let clean leafy mess,1
0,4,look like leaf wearing tiny brown sticker,spray fungicide let clean leafy mess,1
0,4,leaf look like hit tiny brown paintbrush stroke,spray fungicide let clean leafy mess,1
0,4,like leaf wearing tiny brown badge dishonor,spray fungicide let clean leafy mess,1
0,4,look like small brown spot yellow halo scattered corn leaf,blast sucker fungicide watch em disappear,1
0,4,seems like leaf got freckle brown cute,give em good spray fungicide say bye bye spot,1
0,4,like leaf got peppered brown spot making look like hot mess,spray em fungicide let clean leafy act,1
0,4,look like someone took paintbrush splattered tiny brown dot leaf,spray em fungicide let tidy leafy canvas,1
0,4,leaf sporting brown spot darker edge like got fight paint,hit em fungicide let make spot regret showing,1
0,4,leaf looking like got chickenpox instead red spot brown ugly,spray em fungicide let cure leafy rash,1
0,4,leaf seem caught brown spot like got infected leafy measles,blast em fungicide let get rid leafy disease,1
0,4,look like someone spilled coffee leaf leaving behind small brown stain,spray em fungicide let clean leafy spill,1
0,4,leaf speckled brown spot like visited polka dot fairy hell,give em good spray fungicide let banish spot leafy oblivion,1
0,4,like leaf playing host brown spot party everyone invited,spray em fungicide let crash leafy shindig,1
0,4,leaf sporting brown spot making look like mud wrestling match,hit em fungicide let clean leafy mess,1
0,4,look like leaf got brown spot like peppered leafy bullet,spray em fungicide let dodge leafy gunfire,1
0,4,like leaf wearing camouflage instead green brown spot,give em good spray fungicide let unveil leafy imposter,1
0,4,leaf seem caught brown spot like marked leafy mafia,blast em fungicide let make spot offer refuse,1
0,4,look like someone took hole punch leaf instead hole leaving behind brown spot,spray em fungicide let patch leafy punch card,1
0,4,leaf dotted brown spot like playing game leafy connect dot broken pencil,hit em fungicide let complete leafy masterpiece,1
0,4,like leaf got case brown spot blue spot place,spray em fungicide let sing leafy tune goodbye spot,1
0,4,leaf looking like hit brown spot tsunami spot washing everything,blast em fungicide let dry leafy flood,1
0,4,look like leaf got polka dot makeover instead colorful dot brown depressing,give em good spray fungicide let restore leafy dignity,1
0,4,leaf freckled brown spot like kissed rusty leaf fairy,spray em fungicide let wipe away leafy kiss,1
0,4,like leaf got case brown spot pox spot popping everywhere,hit em fungicide let vaccinate leaf leafy disease,1
0,4,leaf looking like splattered brown paint spot covering everything,spray em fungicide let clean leafy art project,1
0,4,look like leaf got brown spot like marked leafy graffiti gang,blast em fungicide let wipe away leafy vandalism,1
0,4,leaf seem caught brown spot like infected leafy virus,give em good spray fungicide let cure leafy ailment,1
0,4,like leaf wearing polka dot pajama instead cute dot brown ugly,spray em fungicide let tuck leafy spot bed good,1
0,4,leaf looking like brown spot hailstorm spot raining,hit em fungicide let weather leafy storm,1
0,4,look like leaf got case brown spot chickenpox spot,spray em fungicide let quarantine leafy spot,1
0,4,leaf splattered brown spot like used target practice,blast em fungicide let hit bullseye leafy target,1
0,4,like leaf playing host brown spot invasion spot conquering territory,give em good spray fungicide let repel leafy invasion,1
0,4,look like someone sprinkled cinnamon leaf instead tasty brown spot,spray em fungicide let clean leafy spice mess,1
0,4,leaf freckled brown spot like sun long,hit em fungicide let give leaf shade leafy spot,1
0,4,like leaf got case brown spot chickenpox spot,spray em fungicide let quarantine leafy spot,1
0,4,look like leaf got case brown spot blue spot place,blast em fungicide let sing leafy tune goodbye spot,1
0,4,leaf looking like hit brown spot tsunami spot washing everything,give em good spray fungicide let dry leafy flood,1
0,4,look like leaf got brown spot like marked leafy graffiti gang,hit em fungicide let wipe away leafy vandalism,1
0,4,leaf seem caught brown spot like infected leafy virus,spray em fungicide let cure leafy ailment,1
0,4,like leaf wearing polka dot pajama instead cute dot brown ugly,blast em fungicide let tuck leafy spot bed good,1
0,4,leaf looking like brown spot hailstorm spot raining,give em good spray fungicide let weather leafy storm,1
0,4,look like leaf got case brown spot chickenpox spot,spray em fungicide let quarantine leafy spot,1
0,4,leaf splattered brown spot like used target practice,hit em fungicide let hit bullseye leafy target,1
0,4,like leaf playing host brown spot invasion spot conquering territory,blast em fungicide let repel leafy invasion,1
0,4,look like someone sprinkled cinnamon leaf instead tasty brown spot,spray em fungicide let clean leafy spice mess,1
0,4,leaf freckled brown spot like sun long,hit em fungicide let give leaf shade leafy spot,1
0,4,like leaf got case brown spot chickenpox spot,spray em fungicide let quarantine leafy spot,1
0,4,look like leaf got case brown spot blue spot place,blast em fungicide let sing leafy tune goodbye spot,1
0,4,leaf looking like hit brown spot tsunami spot washing everything,give em good spray fungicide let dry leafy flood,1
0,4,look like leaf got brown spot like marked leafy graffiti gang,hit em fungicide let wipe away leafy vandalism,1
0,4,leaf seem caught brown spot like infected leafy virus,spray em fungicide let cure leafy ailment,1
0,4,like leaf wearing polka dot pajama instead cute dot brown ugly,blast em fungicide let tuck leafy spot bed good,1
0,4,leaf looking like brown spot hailstorm spot raining,give em good spray fungicide let weather leafy storm,1
0,4,visible sign include small oval elongated tan lesion distinct dark border scattered across corn foliage,employment targeted fungicidal remedy recommended suppress spread fungal pathogen affecting corn crop,0
0,4,sign encompass emergence discrete circular lesion characterized necrotic tissue surrounded chlorotic halo corn leaf,adopting integrated approach combine fungicidal application agronomic practice advised gray leaf spot management corn production,0
0,4,appearance characterized irregularly shaped brown lesion well defined margin occurring upper surface corn leaf,implementation comprehensive fungicidal regimen alongside cultural method essential effectively suppressing gray leaf spot corn cultivation,0
0,4,distinguished presence brownish lesion prominent dark border often concentrated lower leaf corn plant,employing multifaceted disease management strategy includes chemical control measure varietal resistance crucial mitigating impact gray leaf spot corn yield,0
0,4,manifestation includes presence tiny oval shaped tan lesion distinct dark border scattered across corn foliage,utilization targeted fungicidal treatment advised manage proliferation fungal pathogen affecting corn crop,0
0,4,indicator consist discrete circular lesion characterized necrotic tissue surrounded chlorotic halo corn leaf,adopting integrated approach combine fungicidal application cultural practice recommended gray leaf spot management corn production,0
0,4,appearance characterized irregularly shaped brown lesion well defined margin occurring upper surface corn leaf,implementing comprehensive fungicidal regimen alongside cultural method essential effectively suppressing gray leaf spot corn cultivation,0
0,4,distinguished presence brownish lesion prominent dark border often concentrated lower leaf corn plant,employing multifaceted disease management strategy includes chemical control measure varietal resistance crucial mitigating impact gray leaf spot corn yield,0
0,4,disease present distinct brown necrotic spot visible dark margin primarily affecting lower leaf corn plant,utilizing targeted fungicidal application alongside cultural practice crop rotation imperative effective management gray leaf spot corn crop,0
0,4,characterized presence irregular tan lesion well defined margin distributed across foliage corn plant,employing fungicide specific activity causative pathogen recommended control gray leaf spot minimize yield loss corn cultivation,0
0,4,manifestation evident formation oval elongated tan lesion surrounded distinct dark border corn foliage,incorporating cultural practice proper crop spacing residue management alongside targeted fungicidal treatment crucial effective management gray leaf spot corn production,0
0,4,visible sign consist small oval elongated tan lesion exhibiting distinct dark border distributed across corn foliage,implementation focused fungicidal treatment recommended curb spread fungal pathogen affecting corn crop,0
0,4,sign include development discrete circular lesion characterized necrotic tissue surrounded chlorotic halo corn leaf,employment integrated pest management strategy incorporating fungicidal application cultural practice advised manage gray leaf spot corn production,0
0,4,appearance includes irregularly shaped brown lesion well defined margin occurring upper surface corn leaf,implementation systematic fungicidal regimen coupled cultural method essential effectively suppressing gray leaf spot corn cultivation,0
0,4,characterized presence brownish lesion prominent dark border often concentrated lower leaf corn plant,adoption comprehensive disease management plan including chemical control measure varietal resistance crucial mitigating impact gray leaf spot corn yield,0
0,4,disease present distinct brown necrotic spot visible dark margin primarily affecting lower leaf corn plant,utilization targeted fungicidal application alongside cultural practice crop rotation imperative effective management gray leaf spot corn crop,0
0,4,characterized presence irregular tan lesion well defined margin distributed across foliage corn plant,utilization fungicide specific activity causative pathogen recommended control gray leaf spot minimize yield loss corn cultivation,0
0,4,manifestation evident formation oval elongated tan lesion surrounded distinct dark border corn foliage,incorporation cultural practice proper crop spacing residue management alongside targeted fungicidal treatment crucial effective management gray leaf spot corn production,0
0,4,appearance includes presence small oval shaped tan lesion distinct dark border scattered across corn foliage,utilization targeted fungicidal treatment advised manage proliferation fungal pathogen affecting corn crop,0
0,4,indicator consist discrete circular lesion characterized necrotic tissue surrounded chlorotic halo corn leaf,adopting integrated approach combine fungicidal application cultural practice recommended gray leaf spot management corn production,0
0,4,appearance characterized irregularly shaped brown lesion well defined margin occurring upper surface corn leaf,implementing comprehensive fungicidal regimen alongside cultural method essential effectively suppressing gray leaf spot corn cultivation,0
0,4,distinguished presence brownish lesion prominent dark border often concentrated lower leaf corn plant,employing multifaceted disease management strategy includes chemical control measure varietal resistance crucial mitigating impact gray leaf spot corn yield,0
0,4,disease present distinct brown necrotic spot visible dark margin primarily affecting lower leaf corn plant,utilizing targeted fungicidal application alongside cultural practice crop rotation imperative effective management gray leaf spot corn crop,0
0,4,characterized presence irregular tan lesion well defined margin distributed across foliage corn plant,employing fungicide specific activity causative pathogen recommended control gray leaf spot minimize yield loss corn cultivation,0
0,4,manifestation evident formation oval elongated tan lesion surrounded distinct dark border corn foliage,incorporating cultural practice proper crop spacing residue management alongside targeted fungicidal treatment crucial effective management gray leaf spot corn production,0
0,4,manifestation present small oval elongated tan lesion exhibiting distinct dark border distributed across surface corn foliage,application targeted fungicidal treatment recommended mitigate proliferation fungal pathogen affecting corn crop,0
